area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
99,U.S.,1,15-1252,Software Developers,1654440.0,144570.0,69.5,133080.0,63.98,79850.0,103050.0,169000.0,211450.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
1,Alabama,2,15-1252,Software Developers,18020.0,117380.0,56.43,113020.0,54.34,63670.0,82610.0,141140.0,176060.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
2,Alaska,2,15-1252,Software Developers,430.0,132940.0,63.91,119600.0,57.5,92980.0,95930.0,167140.0,196500.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
4,Arizona,2,15-1252,Software Developers,35650.0,133140.0,64.01,128690.0,61.87,80300.0,100320.0,157710.0,186280.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
5,Arkansas,2,15-1252,Software Developers,6390.0,100380.0,48.26,96820.0,46.55,55030.0,77550.0,119770.0,160700.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
6,California,2,15-1252,Software Developers,292630.0,185750.0,89.3,170910.0,82.17,103950.0,134820.0,212280.0,,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
9,Connecticut,2,15-1252,Software Developers,16490.0,136530.0,65.64,130870.0,62.92,80460.0,102610.0,164180.0,203160.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
10,Delaware,2,15-1252,Software Developers,3850.0,136170.0,65.47,135160.0,64.98,93850.0,111110.0,162060.0,169070.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11,District of Columbia,2,15-1252,Software Developers,8250.0,143810.0,69.14,136040.0,65.4,87120.0,114690.0,166970.0,203560.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
12,Florida,2,15-1252,Software Developers,82610.0,128290.0,61.68,126550.0,60.84,75260.0,98710.0,158430.0,174030.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
13,Georgia,2,15-1252,Software Developers,47350.0,128310.0,61.69,128920.0,61.98,75950.0,101230.0,158030.0,173650.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
15,Hawaii,2,15-1252,Software Developers,1940.0,124960.0,60.08,119880.0,57.64,53840.0,80710.0,167110.0,194220.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
16,Idaho,2,15-1252,Software Developers,4960.0,125460.0,60.32,107900.0,51.87,62750.0,81020.0,137310.0,168060.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
17,Illinois,2,15-1252,Software Developers,54490.0,127030.0,61.07,127770.0,61.43,75450.0,98800.0,159280.0,172020.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
18,Indiana,2,15-1252,Software Developers,12690.0,107610.0,51.74,103570.0,49.79,68680.0,81830.0,129050.0,151450.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
19,Iowa,2,15-1252,Software Developers,9840.0,116000.0,55.77,109850.0,52.81,70650.0,89300.0,134260.0,169200.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
20,Kansas,2,15-1252,Software Developers,15850.0,112900.0,54.28,106660.0,51.28,66870.0,81590.0,133220.0,163670.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
21,Kentucky,2,15-1252,Software Developers,7070.0,114200.0,54.9,106200.0,51.06,71330.0,85410.0,134150.0,164770.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
22,Louisiana,2,15-1252,Software Developers,3870.0,119790.0,57.59,102290.0,49.18,64480.0,80170.0,124550.0,154220.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
23,Maine,2,15-1252,Software Developers,2740.0,118110.0,56.78,113800.0,54.71,76860.0,92190.0,138730.0,170700.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
24,Maryland,2,15-1252,Software Developers,31940.0,150800.0,72.5,137890.0,66.29,86490.0,107670.0,175900.0,218190.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
25,Massachusetts,2,15-1252,Software Developers,54260.0,153650.0,73.87,150520.0,72.37,99360.0,125430.0,172680.0,208220.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
26,Michigan,2,15-1252,Software Developers,41490.0,114890.0,55.23,107820.0,51.84,74200.0,85690.0,133940.0,161850.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
27,Minnesota,2,15-1252,Software Developers,39580.0,121600.0,58.46,124540.0,59.88,75340.0,98470.0,144860.0,166910.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
28,Mississippi,2,15-1252,Software Developers,3200.0,87990.0,42.3,86460.0,41.57,29760.0,51890.0,123710.0,136390.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
29,Missouri,2,15-1252,Software Developers,17060.0,114240.0,54.93,114550.0,55.07,63210.0,82990.0,134600.0,163270.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
30,Montana,2,15-1252,Software Developers,2070.0,120950.0,58.15,100190.0,48.17,62890.0,77990.0,163730.0,216250.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
31,Nebraska,2,15-1252,Software Developers,8940.0,116110.0,55.82,116420.0,55.97,77300.0,98100.0,138520.0,146310.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
32,Nevada,2,15-1252,Software Developers,4640.0,137920.0,66.31,129030.0,62.03,76000.0,97780.0,169990.0,203840.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
33,New Hampshire,2,15-1252,Software Developers,8010.0,139860.0,67.24,132420.0,63.67,85590.0,104000.0,169130.0,199160.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
34,New Jersey,2,15-1252,Software Developers,57120.0,140520.0,67.56,132400.0,63.65,84220.0,104060.0,166340.0,205420.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
35,New Mexico,2,15-1252,Software Developers,4810.0,120080.0,57.73,120820.0,58.09,61070.0,84430.0,141870.0,179270.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
36,New York,2,15-1252,Software Developers,104130.0,159990.0,76.92,161260.0,77.53,85520.0,119530.0,194790.0,223480.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
37,North Carolina,2,15-1252,Software Developers,57590.0,131780.0,63.35,131000.0,62.98,79620.0,102430.0,158940.0,173660.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
38,North Dakota,2,15-1252,Software Developers,1510.0,103610.0,49.81,98550.0,47.38,63140.0,80590.0,122550.0,153280.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
39,Ohio,2,15-1252,Software Developers,44280.0,116330.0,55.93,107690.0,51.77,74780.0,87340.0,134540.0,165640.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
40,Oklahoma,2,15-1252,Software Developers,7150.0,112920.0,54.29,107420.0,51.65,63510.0,83070.0,138620.0,167040.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
41,Oregon,2,15-1252,Software Developers,21100.0,146650.0,70.51,135260.0,65.03,92120.0,110080.0,165940.0,211750.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
42,Pennsylvania,2,15-1252,Software Developers,47350.0,122240.0,58.77,123740.0,59.49,73730.0,94490.0,147060.0,167290.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
44,Rhode Island,2,15-1252,Software Developers,6010.0,126810.0,60.97,128660.0,61.86,82630.0,98340.0,135980.0,168020.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
45,South Carolina,2,15-1252,Software Developers,12230.0,119610.0,57.51,108690.0,52.25,63500.0,80380.0,153780.0,179670.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
46,South Dakota,2,15-1252,Software Developers,2190.0,93390.0,44.9,87770.0,42.2,59510.0,76540.0,104880.0,130610.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
47,Tennessee,2,15-1252,Software Developers,18750.0,117940.0,56.7,117340.0,56.41,72140.0,95060.0,134890.0,164420.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
48,Texas,2,15-1252,Software Developers,151460.0,133280.0,64.08,130500.0,62.74,79490.0,102060.0,160240.0,174710.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
49,Utah,2,15-1252,Software Developers,29160.0,126650.0,60.89,127390.0,61.25,74030.0,95100.0,157450.0,176990.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
50,Vermont,2,15-1252,Software Developers,,134320.0,64.58,130720.0,62.85,79880.0,93670.0,158750.0,203530.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
51,Virginia,2,15-1252,Software Developers,83290.0,142230.0,68.38,134470.0,64.65,82560.0,105550.0,168570.0,208480.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
53,Washington,2,15-1252,Software Developers,91470.0,175600.0,84.42,166910.0,80.24,102630.0,132870.0,207370.0,,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
