area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
99,U.S.,1,27-3043,Writers and Authors,47800.0,85780.0,41.24,72270.0,34.75,41080.0,52890.0,98320.0,133680.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
1,Alabama,2,27-3043,Writers and Authors,170.0,64040.0,30.79,57120.0,27.46,36150.0,40540.0,75450.0,108510.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
4,Arizona,2,27-3043,Writers and Authors,580.0,65360.0,31.42,62640.0,30.11,38110.0,47450.0,75720.0,98690.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
5,Arkansas,2,27-3043,Writers and Authors,280.0,51080.0,24.56,46490.0,22.35,34840.0,41260.0,57500.0,71300.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
6,California,2,27-3043,Writers and Authors,8950.0,96880.0,46.58,80470.0,38.69,45880.0,58170.0,111610.0,163180.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
9,Connecticut,2,27-3043,Writers and Authors,640.0,92350.0,44.4,80950.0,38.92,41210.0,61190.0,102580.0,140640.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
10,Delaware,2,27-3043,Writers and Authors,40.0,65030.0,31.26,57310.0,27.55,48180.0,50090.0,68910.0,93860.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
11,District of Columbia,2,27-3043,Writers and Authors,1240.0,122310.0,58.8,121160.0,58.25,63790.0,80060.0,153340.0,176550.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
12,Florida,2,27-3043,Writers and Authors,2440.0,79820.0,38.38,65830.0,31.65,42100.0,50220.0,86460.0,135210.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
13,Georgia,2,27-3043,Writers and Authors,1200.0,78720.0,37.85,64070.0,30.8,36340.0,59040.0,84000.0,116480.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
15,Hawaii,2,27-3043,Writers and Authors,40.0,,,,,,,,,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
16,Idaho,2,27-3043,Writers and Authors,100.0,71280.0,34.27,65450.0,31.47,37250.0,44760.0,95640.0,109610.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
17,Illinois,2,27-3043,Writers and Authors,2010.0,73530.0,35.35,66180.0,31.82,36950.0,49040.0,93600.0,121080.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
18,Indiana,2,27-3043,Writers and Authors,510.0,71970.0,34.6,62080.0,29.85,47070.0,50770.0,79830.0,102510.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
19,Iowa,2,27-3043,Writers and Authors,280.0,57130.0,27.47,54990.0,26.44,31990.0,48410.0,63980.0,81170.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
20,Kansas,2,27-3043,Writers and Authors,190.0,55750.0,26.8,59440.0,28.58,15890.0,18040.0,79350.0,100090.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
21,Kentucky,2,27-3043,Writers and Authors,340.0,51470.0,24.75,43450.0,20.89,35430.0,38990.0,61180.0,75330.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
22,Louisiana,2,27-3043,Writers and Authors,380.0,69090.0,33.22,70810.0,34.04,26520.0,42990.0,95510.0,108480.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
23,Maine,2,27-3043,Writers and Authors,,67940.0,32.66,65000.0,31.25,33280.0,49330.0,77080.0,102350.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
24,Maryland,2,27-3043,Writers and Authors,620.0,108860.0,52.34,107540.0,51.7,57830.0,77920.0,139370.0,155950.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
25,Massachusetts,2,27-3043,Writers and Authors,1260.0,92520.0,44.48,78440.0,37.71,48810.0,63000.0,102370.0,137130.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
26,Michigan,2,27-3043,Writers and Authors,860.0,58880.0,28.31,61800.0,29.71,35530.0,45760.0,68510.0,81580.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
27,Minnesota,2,27-3043,Writers and Authors,980.0,72500.0,34.86,65900.0,31.68,46690.0,58810.0,82520.0,103690.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
28,Mississippi,2,27-3043,Writers and Authors,130.0,53580.0,25.76,51230.0,24.63,27150.0,40450.0,61860.0,83950.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
29,Missouri,2,27-3043,Writers and Authors,550.0,63900.0,30.72,59040.0,28.38,39970.0,47290.0,73570.0,99570.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
30,Montana,2,27-3043,Writers and Authors,90.0,63790.0,30.67,59990.0,28.84,44550.0,51590.0,65470.0,83770.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
31,Nebraska,2,27-3043,Writers and Authors,200.0,74300.0,35.72,64150.0,30.84,41790.0,52900.0,78540.0,94320.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
32,Nevada,2,27-3043,Writers and Authors,200.0,59870.0,28.78,52700.0,25.34,39230.0,47820.0,66360.0,84220.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
33,New Hampshire,2,27-3043,Writers and Authors,230.0,67550.0,32.48,60690.0,29.18,38120.0,42920.0,85340.0,112820.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
