occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology
11-1011,0.8888888888888888,0.9108527131782945,0.07364341085271318,0.9748062015503876,0.7803617571059431
11-1021,0.7848837209302325,0.661498708010336,0.24289405684754523,0.7338501291989664,0.6724806201550387
11-2011,0.6363049095607235,0.7474160206718347,0.11369509043927649,0.9476744186046512,0.8527131782945736
11-2021,0.44638242894056845,0.7571059431524548,0.05167958656330749,0.9560723514211886,0.8372093023255814
11-2022,0.7054263565891473,0.8824289405684754,0.03488372093023256,0.9308785529715762,0.6524547803617571
11-2033,0.8217054263565892,0.7648578811369509,0.08914728682170543,0.8255813953488372,0.7764857881136951
11-3012,0.9198966408268734,0.6996124031007752,0.3850129198966408,0.6498708010335917,0.5251937984496124
11-3013,0.7751937984496124,0.7906976744186046,0.5129198966408268,0.8126614987080103,0.5904392764857881
11-3021,0.6272609819121447,0.3863049095607235,0.2532299741602067,0.7558139534883721,0.9799741602067183
11-3031,0.6091731266149871,0.5361757105943152,0.059431524547803614,0.7170542635658915,0.7952196382428941
11-3051,0.7093023255813954,0.4289405684754522,0.4483204134366925,0.6795865633074936,0.8359173126614987
11-3061,0.8359173126614987,0.7887596899224806,0.05167958656330749,0.9076227390180879,0.8578811369509044
11-3071,0.6808785529715762,0.599483204134367,0.18863049095607234,0.7674418604651163,0.7512919896640827
11-3111,0.877906976744186,0.5562015503875969,0.01744186046511628,0.7028423772609819,0.7131782945736435
11-3121,0.9354005167958657,0.8527131782945736,0.09302325581395349,0.9140826873385013,0.7635658914728682
11-3131,0.810077519379845,0.520671834625323,0.10981912144702842,0.9677002583979328,0.8236434108527132
11-9013,0.6027131782945736,0.5891472868217055,0.661498708010336,0.8152454780361758,0.45671834625323
11-9021,0.8688630490956072,0.6905684754521964,0.45478036175710596,0.7286821705426356,0.49160206718346255
11-9031,0.9160206718346253,0.962532299741602,0.31007751937984496,0.7868217054263565,0.4186046511627907
