occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,substitution_score,defense_score,net_risk
11-1011,0.8888888888888888,0.9108527131782944,0.0736434108527131,0.9748062015503876,0.7803617571059431,0.834625322997416,0.6531007751937984,0.1815245478036176
11-1021,0.7848837209302325,0.661498708010336,0.2428940568475452,0.7338501291989664,0.6724806201550387,0.7286821705426356,0.5460809646856158,0.18260120585701978
11-2011,0.6363049095607235,0.7474160206718347,0.1136950904392764,0.9476744186046512,0.8527131782945736,0.7445090439276485,0.602928509905254,0.14158053402239446
11-2021,0.4463824289405684,0.7571059431524548,0.0516795865633074,0.9560723514211886,0.8372093023255814,0.6417958656330749,0.5882859603789836,0.05350990525409127
11-2022,0.7054263565891473,0.8824289405684754,0.0348837209302325,0.9308785529715762,0.6524547803617571,0.6789405684754521,0.6160637381567614,0.06287683031869074
11-2033,0.8217054263565892,0.7648578811369509,0.0891472868217054,0.8255813953488372,0.7764857881136951,0.7990956072351421,0.5598621877691645,0.23923341946597754
11-3012,0.9198966408268734,0.6996124031007752,0.3850129198966408,0.6498708010335917,0.5251937984496124,0.7225452196382429,0.5781653746770026,0.14437984496124034
11-3013,0.7751937984496124,0.7906976744186046,0.5129198966408268,0.8126614987080103,0.5904392764857881,0.6828165374677002,0.7054263565891472,-0.022609819121446995
11-3021,0.6272609819121447,0.3863049095607235,0.2532299741602067,0.7558139534883721,0.9799741602067183,0.8036175710594315,0.46511627906976744,0.3385012919896641
11-3031,0.6091731266149871,0.5361757105943152,0.0594315245478036,0.7170542635658915,0.7952196382428941,0.7021963824289406,0.4375538329026701,0.2646425495262705
11-3051,0.7093023255813954,0.4289405684754522,0.4483204134366925,0.6795865633074936,0.8359173126614987,0.772609819121447,0.5189491817398794,0.25366063738156763
11-3061,0.8359173126614987,0.7887596899224806,0.0516795865633074,0.907622739018088,0.8578811369509044,0.8468992248062015,0.582687338501292,0.26421188630490955
11-3071,0.6808785529715762,0.599483204134367,0.1886304909560723,0.7674418604651163,0.7512919896640827,0.7160852713178294,0.5185185185185185,0.1975667527993109
