season,week,celebrity_name,ballroom_partner,J,f,j_share,combined_approx,is_eliminated_this_week
4,1,Apolo Anton Ohno,Julianne Hough,21.0,0.16312172933860392,0.10194174757281553,0.26506347691141946,False
4,1,Billy Ray Cyrus,Karina Smirnoff,13.0,0.049791808793624076,0.06310679611650485,0.11289860491012893,False
4,1,Clyde Drexler,Elena Grinenko,16.0,0.0585021901184221,0.07766990291262135,0.13617209303104344,False
4,1,Heather Mills,Jonathan Roberts,18.0,0.07569234317343528,0.08737864077669903,0.1630709839501343,False
4,1,Ian Ziering,Cheryl Burke,21.0,0.08370465799165352,0.10194174757281553,0.18564640556446904,False
4,1,Joey Fatone,Kym Johnson,24.0,0.15038240352366325,0.11650485436893204,0.26688725789259526,False
4,1,John Ratzenberger,Edyta Sliwinska,17.0,0.03474348251018321,0.0825242718446602,0.1172677543548434,False
4,1,Laila Ali,Maksim Chmerkoskiy,23.0,0.14925250117096114,0.11165048543689321,0.2609029866078544,False
4,1,Leeza Gibbons,Tony Dovolani,15.0,0.04555832034399553,0.07281553398058252,0.11837385432457806,False
4,1,Paulina Porizkova,Alec Mazo,19.0,0.07366824966899824,0.09223300970873786,0.1659012593777361,False
4,1,Shandi Finnessey,Brian Fortuna,19.0,0.11558231336645959,0.09223300970873786,0.20781532307519746,False
4,2,Apolo Anton Ohno,Julianne Hough,26.0,0.17907947110564773,0.10612244897959183,0.2852019200852396,False
4,2,Billy Ray Cyrus,Karina Smirnoff,21.0,0.004289345499012082,0.08571428571428572,0.0900036312132978,False
4,2,Clyde Drexler,Elena Grinenko,18.0,0.008141370758424072,0.07346938775510205,0.08161075851352612,False
4,2,Heather Mills,Jonathan Roberts,24.0,0.02809046377820177,0.09795918367346938,0.12604964745167116,False
4,2,Ian Ziering,Cheryl Burke,22.0,0.07909285973246592,0.08979591836734693,0.16888877809981284,False
4,2,Joey Fatone,Kym Johnson,24.0,0.3313902192158356,0.09795918367346938,0.429349402889305,False
4,2,John Ratzenberger,Edyta Sliwinska,21.0,0.007430118252834843,0.08571428571428572,0.09314440396712056,False
4,2,Laila Ali,Maksim Chmerkoskiy,27.0,0.26803210263825644,0.11020408163265306,0.3782361842709095,False
4,2,Leeza Gibbons,Tony Dovolani,21.0,0.005166728525788611,0.08571428571428572,0.09088101424007433,False
4,2,Paulina Porizkova,Alec Mazo,21.0,0.035555515622866095,0.08571428571428572,0.12126980133715182,True
4,2,Shandi Finnessey,Brian Fortuna,20.0,0.053731804870666706,0.08163265306122448,0.1353644579318912,False
4,3,Apolo Anton Ohno,Julianne Hough,23.0,0.31098713755830043,0.10550458715596331,0.41649172471426377,False
4,3,Billy Ray Cyrus,Karina Smirnoff,21.0,0.016943183306059234,0.0963302752293578,0.11327345853541704,False
4,3,Clyde Drexler,Elena Grinenko,16.0,0.004038511178277712,0.07339449541284404,0.07743300659112175,False
4,3,Heather Mills,Jonathan Roberts,24.0,0.11253052848826631,0.11009174311926606,0.22262227160753237,False
4,3,Ian Ziering,Cheryl Burke,24.0,0.05664006786886178,0.11009174311926606,0.16673181098812784,False
4,3,Joey Fatone,Kym Johnson,24.0,0.15370690582363344,0.11009174311926606,0.2637986489428995,False
4,3,John Ratzenberger,Edyta Sliwinska,20.0,0.009574110198750593,0.09174311926605505,0.10131722946480565,False
4,3,Laila Ali,Maksim Chmerkoskiy,21.0,0.30488398762407515,0.0963302752293578,0.401214262853433,False
4,3,Leeza Gibbons,Tony Dovolani,24.0,0.018260590971928444,0.11009174311926606,0.1283523340911945,False
