season,week,rule_regime,n_active,observed_eliminated,model_elim_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_map_matches_observed
1,2,rank,6,5,0.14265393964402748,3,False,-1.791759469228055,0.16666666666666666,0.16959928407898808,False
1,3,rank,5,0,0.4872221041290203,1,True,-1.6094379124341003,0.2,0.3401575873970623,True
1,4,rank,4,3,0.11091551796336431,3,False,-1.3862943611198906,0.25,0.20111813661772743,False
10,2,percent,11,10,0.09283719856975375,5,False,-2.3978952727983707,0.09090909090909091,0.0909074096128882,False
10,3,percent,10,1,0.10423242093981806,1,True,-2.302585092994046,0.1,0.10113310408642534,True
10,4,percent,9,0,0.11502362897258922,2,False,-2.1972245773362196,0.1111111111111111,0.11188451497705157,False
10,5,percent,8,4,0.13099933315747445,1,True,-2.0794415416798357,0.125,0.12650691522252452,True
10,6,percent,7,3,0.14477331035227398,4,False,-1.9459101490553132,0.14285714285714285,0.14390024123863646,True
10,7,percent,6,5,0.17158148958473213,2,False,-1.791759469228055,0.16666666666666666,0.16680657920844488,False
10,8,percent,5,4,0.21244149502820678,1,True,-1.6094379124341003,0.2,0.20188861739049174,True
10,9,percent,4,0,0.26313519234493,1,True,-1.3862943611198906,0.25,0.251564730215574,True
11,1,percent,12,3,0.08521600116969934,1,True,-2.4849066497880004,0.08333333333333333,0.08378485496529335,True
11,2,percent,11,8,0.09442095553089433,1,True,-2.3978952727983707,0.09090909090909091,0.09195844500475855,True
11,3,percent,10,7,0.10346464415163838,1,True,-2.302585092994046,0.1,0.10058314259830327,True
11,4,percent,9,8,0.11524611881132564,1,True,-2.1972245773362196,0.1111111111111111,0.11226097262667212,True
11,5,percent,8,3,0.1298946818012673,1,True,-2.0794415416798357,0.125,0.1253762948935982,False
11,6,percent,7,0,0.14314392222094088,6,False,-1.9459101490553132,0.14285714285714285,0.14232974471717863,False
11,7,percent,6,5,0.16805100871434628,4,False,-1.791759469228055,0.16666666666666666,0.16672897455400565,False
11,8,percent,5,3,0.20495904976429843,2,False,-1.6094379124341003,0.2,0.20118462113238336,False
11,9,percent,4,0,0.24313546318738535,4,False,-1.3862943611198906,0.25,0.24999846037742565,False
12,2,percent,11,5,0.09360775092860897,3,False,-2.3978952727983707,0.09090909090909091,0.09125734977736664,True
12,3,percent,10,9,0.10390911640022649,1,True,-2.302585092994046,0.1,0.1009419248834817,True
12,4,percent,9,8,0.11500260120528906,1,True,-2.1972245773362196,0.1111111111111111,0.1114305587083475,False
12,5,percent,8,5,0.12776284200645707,3,False,-2.0794415416798357,0.125,0.12545500823576863,False
12,6,percent,7,1,0.14580060865211708,4,False,-1.9459101490553132,0.14285714285714285,0.14378413156272304,True
12,7,percent,6,2,0.1711571204262548,3,False,-1.791759469228055,0.16666666666666666,0.16692076492482216,False
12,8,percent,5,4,0.2049432857875,2,False,-1.6094379124341003,0.2,0.1999985416334749,False
12,9,percent,4,3,0.2700002361904016,1,True,-1.3862943611198906,0.25,0.25359472192836674,True
13,1,percent,12,8,0.08408491897566224,4,False,-2.4849066497880004,0.08333333333333333,0.08382620021049124,True
13,2,percent,11,4,0.09315639550588549,4,False,-2.3978952727983707,0.09090909090909091,0.09081580278025023,False
