pro_dancer,judge_FE,fan_FE,fan_minus_judge,rank_fan,rank_judge,rank_gap
Andrea Hale,-1.5342207025010481,0.4963458743724345,2.0305665768734826,4,59,-55
Henry Byalikov,-0.036529506467631936,0.9765380107254383,1.0130675171930703,1,36,-35
Elena Grinenko,-1.475761998316261,-0.468089421156602,1.007672577159659,55,57,-2
Ezra Sosa,-1.037913216821845,-0.16857831672390222,0.8693349000979428,48,54,-6
Tyne Stecklein,-1.1039601239854355,-0.3959550676409457,0.7080050563444898,53,55,-2
Koko Iwasaki,-1.4938231310079852,-0.865507101658036,0.6283160293499492,58,58,0
Ashly DelGrosso,-0.7375870565957321,-0.15047141623076263,0.5871156403649694,46,50,-4
Rylee Arnold,-0.9224022479506075,-0.48039215704682303,0.4420100909037845,56,53,3
Emma Slater/Kaitlyn Bristowe (week 9),-1.1087922574071354,-0.6675866984241212,0.44120555898301417,57,56,1
Alec Mazo,-0.17315780789633087,0.2254779730048026,0.3986357809011335,11,40,-29
Fabian Sanchez,-0.23324917283904154,0.08583076844809766,0.3190799412871392,28,43,-15
Brian Fortuna,-0.7697789799610585,-0.4531540451044218,0.3166249348566367,54,52,2
Jesse DeSoto,-0.516830803037116,-0.2443801169241108,0.27245068611300527,50,47,3
Nick Kosovich,0.29463030810922736,0.537045060071814,0.2424147519625866,3,14,-11
Jan Ravnik,-0.5626822130381207,-0.3405547001468657,0.22212751289125504,51,49,2
Inna Brayer,-0.011062702139747492,0.20374485046894542,0.21480755260869291,13,33,-20
Lacey Schwimmer,-0.3622769023700239,-0.17800045973017684,0.18427644263984708,49,46,3
Keo Motsepe,-0.27601728171166245,-0.11117104526138542,0.16484623645027702,44,45,-1
Britt Stewart,-0.20352378125100054,-0.03909447665578456,0.16442930459521599,39,42,-3
Kym Herjavec,-0.5261222602675217,-0.3789316194386244,0.14719064082889732,52,48,4
Louis van Amstel,-0.19244914085132436,-0.048680759096574586,0.14376838175474976,40,41,-1
Chelsie Hightower,-0.2725452399784821,-0.12974368730420852,0.1428015526742736,45,44,1
Edyta Sliwinska,-0.12436259792078015,0.003193388079272631,0.12755598600005277,38,39,-1
Tristan MacManus,0.06614787400581652,0.18950594597182105,0.12335807196600453,14,27,-13
Jonathan Roberts,0.07395813092935352,0.17428514031118586,0.10032700938183234,18,25,-7
Lindsay Arnold,0.008518583440640172,0.08605050737879126,0.07753192393815109,27,32,-5
Anna Trebunskaya,-0.09687818090858073,-0.060897813520456354,0.03598036738812438,42,38,4
Karina Smirnoff,0.041737292439309154,0.07034387092937354,0.028606578490064385,30,29,1
Peta Murgatroyd,0.022346156922118665,0.04155284094386096,0.019206684021742297,34,30,4
Sharna Burgess,0.019187705778248774,0.024701849377864755,0.005514143599615981,36,31,5
Emma Slater,-0.06699488615569306,-0.06256582274726044,0.004429063408432618,43,37,6
Gleb Savchenko,0.052406205803896044,0.05068362596526852,-0.0017225798386275235,33,28,5
Ezra Sosa (Apolo Anton Ohno week 9),0.1409238849475535,0.12251823683096064,-0.01840564811659287,24,23,1
Daniella Karagach (Rumer Willis week 9),-0.02069975882277484,-0.051878364761617154,-0.031178605938842315,41,35,6
Jenna Johnson,0.18673670029285763,0.14296174488571262,-0.043774955407145016,21,21,0
Tony Dovolani,0.15189244688543688,0.09948247362016127,-0.052409973265275606,25,22,3
Julianne Hough,0.06943854673579224,0.009715059484600797,-0.05972348725119144,37,26,11
Brandon Armstrong,0.2460599838324315,0.1689367313256287,-0.0771232525068028,19,19,0
Cheryl Burke,0.13030823388631985,0.03319600911173989,-0.09711222477457995,35,24,11
Witney Carson (Xoshitl Gomez week 9),0.1996705413652032,0.09800970365725906,-0.10166083770794415,26,20,6
Val Chmerkovskiy,0.25886812205862725,0.1535627245905582,-0.10530539746806905,20,17,3
Witney Carson,0.2886285569390836,0.18287659148383614,-0.10575196545524748,16,15,1
Mark Ballas,0.3675221549755129,0.24786002260824966,-0.11966213236726322,9,10,-1
Valentin Chmerkovskiy,0.46011310343503603,0.3339441082623851,-0.12616899517265096,7,5,2
Maksim Chmerkoskiy,0.3188680068284866,0.18201078824996297,-0.13685721857852362,17,13,4
Kym Johnson,0.3260698465526428,0.18829378059041726,-0.13777606596222555,15,12,3
Sasha Farber,0.27996222886827815,0.13708231572361776,-0.1428799131446604,22,16,6
Daniella Karagach,-0.018179230939841057,-0.16164458619143277,-0.1434653552515917,47,34,13
Artem Chigvintsev,0.5537653774693099,0.40873340542673087,-0.145031972042579,6,3,3
Allison Holker,0.3932114035185985,0.23326573936490894,-0.15994566415368958,10,9,1
Anna Demidova,-0.7653083905101455,-0.9383032660772265,-0.17299487556708093,59,51,8
Dmitry Chaplin,0.3977280721257306,0.21657953347752132,-0.18114853864820926,12,8,4
Pasha Pashkov,0.24708581566819385,0.06285143761655554,-0.1842343780516383,32,18,14
Damian Whitewood,0.5086677697967747,0.31135617414077305,-0.1973115956560017,8,4,4
Charlotte Jorgensen,0.7519122197442638,0.5517282777104493,-0.2001839420338145,2,2,0
Alan Bersten (Rashad Jennings week 9),0.33637017710637196,0.08161637844535294,-0.254753798661019,29,11,18
Val Chmerkovskiy (Joey Graziadei week 9),0.43241813390073347,0.1348106721399893,-0.29760746176074415,23,6,17
Corky Ballas,0.4181176721181112,0.06483489551714491,-0.3532827766009663,31,7,24
Derek Hough,0.8486633141702123,0.41865350040092725,-0.4300098137692851,5,1,4
