season,week,celebrity_name,ballroom_partner,J,f,j_share,combined_approx,is_eliminated_this_week
27,1,Alexis Ren,Alan Bersten,22.0,0.14455427768199433,0.08627450980392157,0.2308287874859159,False
27,1,Bobby Bones,Sharna Burgess,20.0,0.06504384849076611,0.0784313725490196,0.14347522103978572,False
27,1,Danelle Umstead,Artem Chigvintsev,18.0,0.04514317959582597,0.07058823529411765,0.11573141488994362,False
27,1,DeMarcus Ware,Lindsay Arnold,23.0,0.08983487019641671,0.09019607843137255,0.18003094862778926,False
27,1,Evanna Lynch,Keo Motsepe,18.0,0.08347742480003682,0.07058823529411765,0.15406566009415446,False
27,1,Joe Amabile,Jenna Johnson,14.0,0.0614856894647286,0.054901960784313725,0.11638765024904232,False
27,1,John Schneider,Emma Slater,18.0,0.02851753402910046,0.07058823529411765,0.0991057693232181,False
27,1,Juan Pablo Di Pace,Cheryl Burke,22.0,0.0741769133006508,0.08627450980392157,0.1604514231045724,False
27,1,Mary Lou Retton,Sasha Farber,20.0,0.042918269314334054,0.0784313725490196,0.12134964186335366,False
27,1,Milo Manheim,Witney Carson,20.0,0.12890718737082535,0.0784313725490196,0.20733855991984496,False
27,1,Nancy McKeon,Valentin Chmerkovskiy,19.5,0.03750356321657525,0.07647058823529412,0.11397415145186937,False
27,1,Nikki Glaser,Gleb Savchenko,17.5,0.0669262755571143,0.06862745098039216,0.13555372653750647,True
27,1,Tinashe,Brandon Armstrong,23.0,0.13151096698163098,0.09019607843137255,0.2217070454130035,False
27,2,Alexis Ren,Alan Bersten,24.5,0.17978648535022035,0.09057301293900184,0.2703594982892222,False
27,2,Bobby Bones,Sharna Burgess,19.5,0.029611224865509645,0.07208872458410351,0.10169994944961315,False
27,2,Danelle Umstead,Artem Chigvintsev,18.5,0.005127773800942291,0.06839186691312385,0.07351964071406614,True
27,2,DeMarcus Ware,Lindsay Arnold,23.5,0.21098824882910514,0.08687615526802218,0.29786440409712733,False
27,2,Evanna Lynch,Keo Motsepe,24.0,0.013265231003444514,0.08872458410351201,0.10198981510695652,False
27,2,Joe Amabile,Jenna Johnson,17.5,0.002725806511664196,0.06469500924214418,0.06742081575380837,False
27,2,John Schneider,Emma Slater,21.5,0.0036407231424107167,0.07948243992606285,0.08312316306847357,False
27,2,Juan Pablo Di Pace,Cheryl Burke,26.0,0.09780573870180702,0.09611829944547134,0.19392403814727838,False
27,2,Mary Lou Retton,Sasha Farber,23.0,0.022391738328767643,0.08502772643253234,0.10741946476129999,False
27,2,Milo Manheim,Witney Carson,26.0,0.08535900142180342,0.09611829944547134,0.18147730086727476,False
27,2,Nancy McKeon,Valentin Chmerkovskiy,20.5,0.008844553840873055,0.07578558225508318,0.08463013609595624,False
27,2,Tinashe,Brandon Armstrong,26.0,0.340453474203452,0.09611829944547134,0.43657177364892336,False
27,3,Alexis Ren,Alan Bersten,26.0,0.12032220521272802,0.0959409594095941,0.21626316462232212,False
27,3,Bobby Bones,Sharna Burgess,23.0,0.006985784937961709,0.08487084870848709,0.09185663364644879,False
27,3,DeMarcus Ware,Lindsay Arnold,26.0,0.034875584511753266,0.0959409594095941,0.13081654392134737,False
27,3,Evanna Lynch,Keo Motsepe,27.0,0.07630158020224861,0.0996309963099631,0.17593257651221172,False
27,3,Joe Amabile,Jenna Johnson,18.0,0.0035406936211099874,0.06642066420664207,0.06996135782775206,False
27,3,John Schneider,Emma Slater,21.0,0.006414494209100934,0.07749077490774908,0.08390526911685002,False
27,3,Juan Pablo Di Pace,Cheryl Burke,30.0,0.16372769823822997,0.11070110701107011,0.2744288052493001,False
27,3,Mary Lou Retton,Sasha Farber,24.0,0.014011608214517024,0.08856088560885608,0.1025724938233731,False
27,3,Milo Manheim,Witney Carson,27.0,0.31708991815696147,0.0996309963099631,0.41672091446692455,False
27,3,Nancy McKeon,Valentin Chmerkovskiy,22.0,0.005702203746387721,0.08118081180811808,0.0868830155545058,True
27,3,Tinashe,Brandon Armstrong,27.0,0.25102822894900134,0.0996309963099631,0.3506592252589644,False
27,4,Alexis Ren,Alan Bersten,25.0,0.08988030807579636,0.10775862068965517,0.19763892876545153,False
27,4,Bobby Bones,Sharna Burgess,20.0,0.015104695712621196,0.08620689655172414,0.10131159226434534,False
27,4,DeMarcus Ware,Lindsay Arnold,22.0,0.04262670778770533,0.09482758620689655,0.13745429399460188,False
27,4,Evanna Lynch,Keo Motsepe,24.0,0.1467791851437095,0.10344827586206896,0.2502274610057785,False
27,4,Joe Amabile,Jenna Johnson,15.0,0.005313715074642803,0.06465517241379311,0.06996888748843591,False
27,4,John Schneider,Emma Slater,21.0,0.0036500591665160446,0.09051724137931035,0.0941673005458264,False
27,4,Juan Pablo Di Pace,Cheryl Burke,24.0,0.1987099871176109,0.10344827586206896,0.30215826297967985,False
