season,week,celebrity_name,ballroom_partner,fan_share
1,1,Evander Holyfield,Edyta Sliwinska,0.12744593756076764
1,1,Joey McIntyre,Ashly DelGrosso,0.22519430739795124
1,1,John O'Hurley,Charlotte Jorgensen,0.11555672293839431
1,1,Kelly Monaco,Alec Mazo,0.14862314323213452
1,1,Rachel Hunter,Jonathan Roberts,0.20296277902254226
1,1,Trista Sutter,Louis van Amstel,0.18021710984821
1,2,Evander Holyfield,Edyta Sliwinska,0.0578699466199206
1,2,Joey McIntyre,Ashly DelGrosso,0.2980236409222555
1,2,John O'Hurley,Charlotte Jorgensen,0.18580332351297335
1,2,Kelly Monaco,Alec Mazo,0.05698984796989184
1,2,Rachel Hunter,Jonathan Roberts,0.3018899673990648
1,2,Trista Sutter,Louis van Amstel,0.0994232735758938
1,3,Evander Holyfield,Edyta Sliwinska,0.03640004506119524
1,3,Joey McIntyre,Ashly DelGrosso,0.21476709247053394
1,3,John O'Hurley,Charlotte Jorgensen,0.2760186272959343
1,3,Kelly Monaco,Alec Mazo,0.10694496809034089
1,3,Rachel Hunter,Jonathan Roberts,0.36586926708199563
1,4,Joey McIntyre,Ashly DelGrosso,0.18659735742341285
1,4,John O'Hurley,Charlotte Jorgensen,0.14259881439158986
1,4,Kelly Monaco,Alec Mazo,0.19739505921070485
1,4,Rachel Hunter,Jonathan Roberts,0.47340876897429257
1,5,Joey McIntyre,Ashly DelGrosso,0.19143593974392423
1,5,John O'Hurley,Charlotte Jorgensen,0.1881040504299859
1,5,Kelly Monaco,Alec Mazo,0.6204600098260898
1,6,John O'Hurley,Charlotte Jorgensen,0.3756146032934852
1,6,Kelly Monaco,Alec Mazo,0.6243853967065147
10,1,Aiden Turner,Edyta Sliwinska,0.07623444143564823
10,1,Buzz Aldrin,Ashly DelGrosso,0.014495117641005837
10,1,Chad Ochocinco,Cheryl Burke,0.08991577677551625
10,1,Erin Andrews,Maksim Chmerkoskiy,0.11465474767322804
10,1,Evan Lysacek,Anna Trebunskaya,0.16403898841218173
10,1,Jake Pavelka,Chelsie Hightower,0.11010385698048966
10,1,Kate Gosselin,Tony Dovolani,0.07473359479411819
10,1,Nicole Scherzinger,Derek Hough,0.1395716092467175
10,1,Niecy Nash,Louis van Amstel,0.06524447394055188
10,1,Pamela Anderson,Damian Whitewood,0.08108154561636884
10,1,Shannen Doherty,Mark Ballas,0.0699258474841738
10,2,Aiden Turner,Edyta Sliwinska,0.00859120347955839
10,2,Buzz Aldrin,Ashly DelGrosso,0.0009219767575777188
10,2,Chad Ochocinco,Cheryl Burke,0.02366106403644799
10,2,Erin Andrews,Maksim Chmerkoskiy,0.12105006077910255
10,2,Evan Lysacek,Anna Trebunskaya,0.28388038767702195
10,2,Jake Pavelka,Chelsie Hightower,0.056101335749200114
10,2,Kate Gosselin,Tony Dovolani,0.010024647082097857
10,2,Nicole Scherzinger,Derek Hough,0.36871064629190137
10,2,Niecy Nash,Louis van Amstel,0.023230273080229576
10,2,Pamela Anderson,Damian Whitewood,0.08256387506518544
10,2,Shannen Doherty,Mark Ballas,0.021264530001676833
10,3,Aiden Turner,Edyta Sliwinska,0.019409851511563277
10,3,Buzz Aldrin,Ashly DelGrosso,0.0009956631492759852
10,3,Chad Ochocinco,Cheryl Burke,0.014153985114824097
10,3,Erin Andrews,Maksim Chmerkoskiy,0.15515403454782353
10,3,Evan Lysacek,Anna Trebunskaya,0.3295624250699818
10,3,Jake Pavelka,Chelsie Hightower,0.03613605925612681
10,3,Kate Gosselin,Tony Dovolani,0.007330154842939084
10,3,Nicole Scherzinger,Derek Hough,0.3295560792326978
10,3,Niecy Nash,Louis van Amstel,0.04495086587528901
10,3,Pamela Anderson,Damian Whitewood,0.0627508813994785
10,4,Aiden Turner,Edyta Sliwinska,0.01956590167639026
10,4,Chad Ochocinco,Cheryl Burke,0.02859071879672051
10,4,Erin Andrews,Maksim Chmerkoskiy,0.1385010656824689
10,4,Evan Lysacek,Anna Trebunskaya,0.4556597037783445
10,4,Jake Pavelka,Chelsie Hightower,0.055315590786118515
10,4,Kate Gosselin,Tony Dovolani,0.010537293405009768
10,4,Nicole Scherzinger,Derek Hough,0.20058995333457652
10,4,Niecy Nash,Louis van Amstel,0.038604896989139534
10,4,Pamela Anderson,Damian Whitewood,0.05263487555123145
10,5,Chad Ochocinco,Cheryl Burke,0.07360932400819242
10,5,Erin Andrews,Maksim Chmerkoskiy,0.06672895117427265
10,5,Evan Lysacek,Anna Trebunskaya,0.4413119377859972
10,5,Jake Pavelka,Chelsie Hightower,0.048241193492088566
10,5,Kate Gosselin,Tony Dovolani,0.009908401136115356
10,5,Nicole Scherzinger,Derek Hough,0.2592291133985188
10,5,Niecy Nash,Louis van Amstel,0.018174471266112355
10,5,Pamela Anderson,Damian Whitewood,0.08279660773870286
10,6,Chad Ochocinco,Cheryl Burke,0.04594730771060287
10,6,Erin Andrews,Maksim Chmerkoskiy,0.12275954488229507
10,6,Evan Lysacek,Anna Trebunskaya,0.2416896918039472
10,6,Jake Pavelka,Chelsie Hightower,0.12089026184108416
10,6,Nicole Scherzinger,Derek Hough,0.39510258509664925
10,6,Niecy Nash,Louis van Amstel,0.025650994710018176
10,6,Pamela Anderson,Damian Whitewood,0.047959613955403206
10,7,Chad Ochocinco,Cheryl Burke,0.1738067319599981
10,7,Erin Andrews,Maksim Chmerkoskiy,0.2163691384960808
10,7,Evan Lysacek,Anna Trebunskaya,0.11604059439627849
10,7,Nicole Scherzinger,Derek Hough,0.3832828889617649
10,7,Niecy Nash,Louis van Amstel,0.03592345196343799
10,7,Pamela Anderson,Damian Whitewood,0.07457719422243991
