season,week,rule,robustness_radius,eliminated_index
1,1,weighted_saturation,0.023379233604998953,3
1,2,weighted_saturation,1.063489740756098,0
1,3,weighted_saturation,1.8059391028724852,0
1,4,weighted_saturation,0.7540905323623575,1
1,5,weighted_saturation,0.7827778444541897,0
1,6,weighted_saturation,0.37557665408363555,0
10,1,weighted_saturation,0.0,1
10,2,weighted_saturation,2.509922620897146,1
10,3,weighted_saturation,2.5823127325375475,1
10,4,weighted_saturation,1.9121137230418763,5
10,5,weighted_saturation,2.2209589285853353,4
10,6,weighted_saturation,1.2961038601758768,5
10,7,weighted_saturation,0.9265051919315909,4
10,8,weighted_saturation,1.6024308944549333,4
10,9,weighted_saturation,0.7423499246103843,0
10,10,weighted_saturation,0.4544664207828644,0
11,1,weighted_saturation,0.0,3
11,2,weighted_saturation,1.3264176675933628,8
11,3,weighted_saturation,1.500156398040853,7
11,4,weighted_saturation,1.6097301310695435,3
11,5,weighted_saturation,1.2910890984012182,3
11,6,weighted_saturation,1.2540964778059163,2
11,7,weighted_saturation,1.1822099413875753,3
11,8,weighted_saturation,0.7727114406086606,1
11,9,weighted_saturation,0.4074546573424758,1
11,10,weighted_saturation,0.3981047718685225,0
12,1,weighted_saturation,0.0,10
12,2,weighted_saturation,0.26957258686014646,10
12,3,weighted_saturation,inf,9
12,4,weighted_saturation,inf,8
12,5,weighted_saturation,1.4577402527572862,4
12,6,weighted_saturation,inf,5
12,7,weighted_saturation,1.22347147172743,3
12,8,weighted_saturation,1.2251876638676034,2
12,9,weighted_saturation,2.125045482041672,3
12,10,weighted_saturation,1.350780753618744,2
13,1,weighted_saturation,0.0,9
13,2,weighted_saturation,0.8053236418409,1
13,3,weighted_saturation,inf,1
13,4,weighted_saturation,1.3814268560032783,1
13,5,weighted_saturation,inf,0
13,6,weighted_saturation,1.5986245801745973,0
13,7,weighted_saturation,inf,3
13,8,weighted_saturation,1.279485274127892,2
13,9,weighted_saturation,0.3076491170489137,0
13,10,weighted_saturation,0.34278291137413996,0
14,1,weighted_saturation,0.0,7
14,2,weighted_saturation,1.4578635960458637,7
