season,n_elim_weeks,pct_vs_rank_diff_frac,pct_vs_judgessave_diff_frac,rank_vs_judgessave_diff_frac,fan_influence_index_percent,fan_influence_index_rank
1,6,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333
2,8,0.125,0.25,0.25,0.625,0.625
3,10,0.0,0.1,0.1,1.0,1.0
4,10,0.0,0.1,0.1,0.9,0.9
5,10,0.2,0.3,0.1,0.9,0.9
6,10,0.2,0.4,0.2,0.9,0.8
7,10,0.1,0.3,0.2,1.0,1.0
8,11,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.9090909090909091,0.9090909090909091
9,10,0.1,0.3,0.2,0.9,0.8
10,10,0.0,0.2,0.2,0.9,0.9
11,10,0.3,0.3,0.2,1.0,1.0
12,10,0.2,0.3,0.3,0.9,0.9
13,10,0.1,0.3,0.2,1.0,1.0
14,10,0.2,0.3,0.2,1.0,0.9
15,10,0.2,0.5,0.3,0.9,0.9
16,10,0.2,0.2,0.2,0.9,0.8
17,11,0.0,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.9090909090909091
18,10,0.1,0.0,0.1,0.9,0.9
19,11,0.2727272727272727,0.18181818181818182,0.18181818181818182,1.0,0.9090909090909091
20,10,0.0,0.2,0.2,0.9,0.9
21,11,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.9090909090909091,0.9090909090909091
22,10,0.2,0.3,0.2,1.0,1.0
23,11,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.9090909090909091,0.9090909090909091
24,10,0.1,0.2,0.2,1.0,1.0
25,10,0.2,0.3,0.1,0.9,0.8
26,4,0.0,0.0,0.0,1.0,1.0
27,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.8888888888888888,0.8888888888888888
28,11,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.9090909090909091
29,11,0.09090909090909091,0.18181818181818182,0.18181818181818182,1.0,1.0
30,10,0.1,0.4,0.3,1.0,1.0
31,10,0.1,0.1,0.0,0.9,0.9
32,11,0.36363636363636365,0.2727272727272727,0.5454545454545454,1.0,1.0
33,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.0,1.0
34,11,0.09090909090909091,0.0,0.09090909090909091,1.0,1.0
